country_name,country_code,debt_gdp_2024_pct,debt_gdp_2026_pct,change_pct_points,primary_driver
Zambia,ZMB,131.4,144.2,12.8,External debt restructuring delays and kwacha depreciation
Ethiopia,ETH,55.2,63.8,8.6,Tigray conflict reconstruction spending and donor withdrawal
Ghana,GHA,88.7,96.9,8.2,Eurobond rollover crisis and IMF programme fiscal targets
Kenya,KEN,72.1,79.6,7.5,Infrastructure bond issuance and drought emergency spending
Tanzania,TZA,41.3,47.1,5.8,Port expansion financing and energy subsidy costs
Rwanda,RWA,68.4,74.8,6.4,Vision 2050 infrastructure investment and tech hub development
Nigeria,NGA,39.8,45.2,5.4,Naira devaluation inflating dollar-denominated debt and fuel subsidy removal costs
Mozambique,MOZ,97.3,102.1,4.8,Cyclone recovery and natural gas project cost overruns
Senegal,SEN,82.6,85.9,3.3,Pre-election spending and oil sector development
Uganda,UGA,52.4,54.3,1.9,Moderate borrowing and oil pipeline construction